óÒ1,ójì˙,äOãCâ∑ìx,ó‚î}â∑ìx,â^ì]éûä‘,ìdóÕè¡îÔó ,êœéZó‚ñ[î\óÕ,é∫ì‡ã@â“ì≠ë‰êî,é∫ì‡ã@â“ì≠ó¶
2022-07-01 06:00:00,4,30,2.5,32,0.8,2.0,1,0.16666666666666666
2022-07-01 07:00:00,4,32,0.8,43,1.6,4.1,2,0.3333333333333333
2022-07-01 08:00:00,4,34,2.5,60,9.7,24.6,4,0.6666666666666666
2022-07-01 09:00:00,4,36,3.2,60,12.3,31.5,6,1.0
2022-07-01 10:00:00,4,38,2.9,60,12.9,31.4,6,1.0
2022-07-01 11:00:00,4,40,2.2,60,14.9,32.7,5,0.8333333333333334
2022-07-01 12:00:00,4,41,3.2,60,13.9,31.0,5,0.8333333333333334
2022-07-01 13:00:00,4,41,2.7,60,14.6,31.2,5,0.8333333333333334
2022-07-01 14:00:00,4,40,2.3,60,14.8,32.2,5,0.8333333333333334
2022-07-01 15:00:00,4,37,4.6,60,4.0,9.4,2,0.3333333333333333
2022-07-01 16:00:00,4,36,4.7,60,3.6,9.1,2,0.3333333333333333
2022-07-02 08:00:00,5,33,8.6,59,3.0,10.7,1,0.16666666666666666
2022-07-02 09:00:00,5,34,7.1,60,4.4,15.2,2,0.3333333333333333
2022-07-02 10:00:00,5,36,5.7,60,5.0,15.5,2,0.3333333333333333
2022-07-02 11:00:00,5,36,5.2,60,5.4,15.4,2,0.3333333333333333
2022-07-02 12:00:00,5,37,6.3,60,4.7,15.1,2,0.3333333333333333
2022-07-02 13:00:00,5,37,5.3,60,5.3,14.8,2,0.3333333333333333
2022-07-02 14:00:00,5,37,5.4,60,5.4,15.4,2,0.3333333333333333
2022-07-02 15:00:00,5,35,6.9,60,2.0,3.7,1,0.16666666666666666
2022-07-02 16:00:00,5,34,7.3,60,2.0,3.8,1,0.16666666666666666
2022-07-03 07:00:00,6,30,5.4,32,1.0,3.4,1,0.16666666666666666
2022-07-03 08:00:00,6,31,5.8,60,5.2,16.4,2,0.3333333333333333
2022-07-03 09:00:00,6,32,4.3,60,5.2,16.3,2,0.3333333333333333
2022-07-03 10:00:00,6,33,5.2,60,4.6,14.4,2,0.3333333333333333
2022-07-03 11:00:00,6,35,3.3,60,5.7,17.0,2,0.3333333333333333
2022-07-03 12:00:00,6,34,4.2,60,6.9,18.3,6,1.0
2022-07-03 13:00:00,6,33,4.4,60,4.4,13.5,2,0.3333333333333333
2022-07-03 14:00:00,6,33,4.5,60,3.5,10.0,1,0.16666666666666666
2022-07-04 06:00:00,0,28,4.2,41,0.9,2.5,1,0.16666666666666666
2022-07-04 07:00:00,0,26,5.3,46,1.3,5.0,2,0.3333333333333333
2022-07-04 08:00:00,0,25,6.2,60,5.6,21.7,4,0.6666666666666666
2022-07-04 09:00:00,0,26,8.2,60,6.4,25.8,6,1.0
2022-07-04 10:00:00,0,27,8.3,60,6.2,23.9,6,1.0
2022-07-04 11:00:00,0,28,8.3,60,6.2,23.1,6,1.0
2022-07-04 12:00:00,0,30,8.1,60,6.3,23.6,6,1.0
2022-07-04 13:00:00,0,30,8.0,60,6.6,23.3,6,1.0
2022-07-04 14:00:00,0,31,4.3,60,9.9,29.0,6,1.0
2022-07-04 15:00:00,0,31,3.6,60,9.0,26.2,4,0.6666666666666666
2022-07-04 16:00:00,0,30,3.3,60,8.9,25.6,4,0.6666666666666666
2022-07-05 06:00:00,1,26,2.3,23,0.5,1.5,1,0.16666666666666666
2022-07-05 07:00:00,1,28,6.3,47,1.3,5.1,2,0.3333333333333333
2022-07-05 08:00:00,1,30,7.2,60,5.2,18.8,4,0.6666666666666666
2022-07-05 09:00:00,1,31,7.9,60,6.5,22.5,6,1.0
2022-07-05 10:00:00,1,32,7.8,60,6.8,22.8,6,1.0
2022-07-05 11:00:00,1,31,7.6,60,6.8,22.4,6,1.0
2022-07-05 12:00:00,1,32,7.9,60,6.5,22.7,5,0.8333333333333334
2022-07-05 13:00:00,1,30,7.8,60,6.3,23.8,5,0.8333333333333334
2022-07-05 14:00:00,1,29,6.8,60,7.9,26.9,5,0.8333333333333334
2022-07-05 15:00:00,1,28,8.1,60,3.0,11.1,3,0.5
2022-07-05 16:00:00,1,27,8.4,60,2.7,12.7,3,0.5
2022-07-06 06:00:00,2,24,3.0,34,0.7,1.9,1,0.16666666666666666
2022-07-06 07:00:00,2,25,6.6,49,1.8,6.3,2,0.3333333333333333
2022-07-06 08:00:00,2,27,8.8,60,4.3,19.7,4,0.6666666666666666
2022-07-06 09:00:00,2,29,6.9,60,6.1,22.3,6,1.0
2022-07-06 10:00:00,2,31,7.6,60,1.8,5.6,2,0.3333333333333333
2022-07-06 11:00:00,2,30,7.6,60,6.3,21.1,6,1.0
2022-07-06 12:00:00,2,32,7.2,60,1.7,4.2,2,0.3333333333333333
2022-07-06 13:00:00,2,27,7.5,60,6.3,22.3,6,1.0
2022-07-06 14:00:00,2,28,7.2,60,1.5,4.8,2,0.3333333333333333
2022-07-06 15:00:00,2,30,7.2,60,5.8,20.4,5,0.8333333333333334
2022-07-06 16:00:00,2,30,7.3,56,1.3,3.9,1,0.16666666666666666
2022-07-07 06:00:00,3,24,3.5,27,0.5,1.4,1,0.16666666666666666
2022-07-07 07:00:00,3,25,6.1,51,1.3,4.9,2,0.3333333333333333
2022-07-07 08:00:00,3,26,7.3,60,4.9,19.4,4,0.6666666666666666
2022-07-07 09:00:00,3,27,7.6,60,5.9,23.6,6,1.0
